Ticker,name,sector,opening,closing,high,low
XOM,Exxon Mobil Corp.,Energy,"[['2021-08-02', 57.55]]","[['2021-08-02', 57.58]]","[['2021-08-02', 59.06]]","[['2021-08-02', 57.4]]"
FFIV,F5 Networks,Information Technology,"[['2021-08-02', 205.4]]","[['2021-08-02', 206.62]]","[['2021-08-02', 207.53]]","[['2021-08-02', 204.36]]"
FB,"Facebook, Inc.",Communication Services,"[['2021-08-02', 358.1]]","[['2021-08-02', 351.95]]","[['2021-08-02', 359.4]]","[['2021-08-02', 350.74]]"
FAST,Fastenal Co,Industrials,"[['2021-08-02', 55.0]]","[['2021-08-02', 54.71]]","[['2021-08-02', 55.31]]","[['2021-08-02', 54.52]]"
FRT,Federal Realty Investment Trust,Real Estate,"[['2021-08-02', 118.68]]","[['2021-08-02', 116.57]]","[['2021-08-02', 120.5]]","[['2021-08-02', 116.45]]"
FDX,FedEx Corporation,Industrials,"[['2021-08-02', 280.79]]","[['2021-08-02', 276.16]]","[['2021-08-02', 282.605]]","[['2021-08-02', 275.39]]"
FIS,Fidelity National Information Services,Information Technology,"[['2021-08-02', 150.03]]","[['2021-08-02', 139.12]]","[['2021-08-02', 150.74]]","[['2021-08-02', 137.54]]"
FITB,Fifth Third Bancorp,Financials,"[['2021-08-02', 36.63]]","[['2021-08-02', 36.08]]","[['2021-08-02', 37.38]]","[['2021-08-02', 36.05]]"
FE,FirstEnergy Corp,Utilities,"[['2021-08-02', 38.32]]","[['2021-08-02', 38.46]]","[['2021-08-02', 38.69]]","[['2021-08-02', 38.18]]"
FRC,First Republic Bank,Financials,"[['2021-08-02', 195.55]]","[['2021-08-02', 194.08]]","[['2021-08-02', 198.32]]","[['2021-08-02', 193.22]]"
FISV,Fiserv Inc,Information Technology,"[['2021-08-02', 115.94]]","[['2021-08-02', 109.75]]","[['2021-08-02', 116.04]]","[['2021-08-02', 109.0013]]"
FLT,FleetCor Technologies Inc,Information Technology,"[['2021-08-02', 260.27]]","[['2021-08-02', 253.98]]","[['2021-08-02', 261.89]]","[['2021-08-02', 253.59]]"
FMC,FMC Corporation,Materials,"[['2021-08-02', 107.28]]","[['2021-08-02', 106.6]]","[['2021-08-02', 108.22]]","[['2021-08-02', 105.82]]"
F,Ford Motor Company,Consumer Discretionary,"[['2021-08-02', 14.02]]","[['2021-08-02', 13.91]]","[['2021-08-02', 14.33]]","[['2021-08-02', 13.88]]"
FTNT,Fortinet,Information Technology,"[['2021-08-02', 274.27]]","[['2021-08-02', 284.62]]","[['2021-08-02', 288.536]]","[['2021-08-02', 270.14]]"
FTV,Fortive Corp,Industrials,"[['2021-08-02', 73.3]]","[['2021-08-02', 73.5]]","[['2021-08-02', 74.89]]","[['2021-08-02', 72.97]]"
FBHS,Fortune Brands Home & Security,Industrials,"[['2021-08-02', 98.09]]","[['2021-08-02', 97.93]]","[['2021-08-02', 99.115]]","[['2021-08-02', 97.5]]"
FOXA,Fox Corporation (Class A),Communication Services,"[['2021-08-02', 35.77]]","[['2021-08-02', 35.64]]","[['2021-08-02', 35.95]]","[['2021-08-02', 35.5]]"
FOX,Fox Corporation (Class B),Communication Services,"[['2021-08-02', 33.29]]","[['2021-08-02', 33.29]]","[['2021-08-02', 33.54]]","[['2021-08-02', 33.23]]"
BEN,Franklin Resources,Financials,"[['2021-08-02', 29.88]]","[['2021-08-02', 29.77]]","[['2021-08-02', 30.51]]","[['2021-08-02', 29.59]]"
FCX,Freeport-McMoRan Inc.,Materials,"[['2021-08-02', 38.66]]","[['2021-08-02', 36.62]]","[['2021-08-02', 39.08]]","[['2021-08-02', 36.545]]"
GPS,Gap Inc.,Consumer Discretionary,"[['2021-08-02', 29.33]]","[['2021-08-02', 29.1]]","[['2021-08-02', 30.31]]","[['2021-08-02', 29.09]]"
GRMN,Garmin Ltd.,Consumer Discretionary,"[['2021-08-02', 156.98]]","[['2021-08-02', 157.85]]","[['2021-08-02', 159.405]]","[['2021-08-02', 156.98]]"
IT,Gartner Inc,Information Technology,"[['2021-08-02', 265.97]]","[['2021-08-02', 264.97]]","[['2021-08-02', 267.575]]","[['2021-08-02', 264.075]]"
