model,MSE,R2
V3_1,0.023011249298370617,0.974106197846921
V3_2,0.015522049912275371,0.9847223250663514
V3_3,0.04952312529599733,0.9490946494219679
V3_4,0.00789722708753337,0.9912500814395302
V3_5,0.2730648311845958,0.8247376322608692
V3_6,0.004322343566259358,0.9959638721539685
V3_7,0.005159856930443568,0.9947949111819783
V3_8,0.004443344163497084,0.995245685664706
V3_9,0.012546844192799798,0.9873424282901618
V3_10,0.002723189048131683,0.9964688870098889
V3_11,0.004289605198534634,0.9959465350517285
V3_12,0.004206002752452197,0.9960883268996842
V3_13,0.0017299329237376914,0.9982435284762183
V3_14,0.00537763923312955,0.9942858142216598
V3_15,0.0017802547209905856,0.9981515849194614
V3_16,0.0016102114403598376,0.9981042107618676
V3_17,0.0019973346053728416,0.9980464433198312
V3_18,0.004594478663964381,0.9953043161267251
V3_19,0.0012728689288816443,0.9986594713262674
V3_20,0.0012756049397613977,0.9988150007173408
V3_21,0.0014672313981124248,0.9986752386849072
V3_22,0.0005322571212118645,0.9994127760759326
V3_23,0.0005960246925794676,0.9993302312188471
V3_24,0.0009750309837361358,0.9990441405941979
V3_25,0.0008425082739639929,0.9991879499678996
V3_26,0.0007339285943856551,0.999314898860946
V3_27,0.001234848016389509,0.998817165914274
V3_28,0.00043993925022025275,0.9994895485990889
V3_29,0.000737604332388346,0.9993333094934133
V3_30,0.0006336523943647259,0.9993316136428968
V3_31,0.0007690576519207311,0.9992264593393168
V3_32,0.000373043593428719,0.9996369982822799
V3_33,0.0009619247099830758,0.9990683687494301
V3_34,0.0004936296855737518,0.9994830254982634
V3_35,0.000431863994507716,0.9995714158919541
V3_36,0.00022060565975970154,0.9997843471904699
V3_37,0.0002540298477084857,0.9997694969004829
V3_38,0.0005602059381064942,0.999427659833526
V3_39,0.00023662822341127755,0.9997587230669287
V3_40,0.003590976449058138,0.9954811864904362
