model,MSE,R2
V4_197,0.0021355991336695678,0.9976320579253714
V4_198,0.0014189128093231279,0.9986336678785765
V4_199,0.0010266358079336119,0.9988996835176601
V4_200,0.00211013852319767,0.9979146569704231
V4_201,0.00169492278996883,0.9983300704270641
V4_202,0.001356253269193014,0.9987133140022078
V4_203,0.001204520943593541,0.9987546587137736
V4_204,0.001474181300113962,0.998678175698605
V4_205,0.0016289561068031932,0.9983960277359506
V4_206,0.001118398250454483,0.9987266587648963
V4_207,0.001206892057665803,0.9987649588855261
V4_208,0.02310604274069102,0.9780245692832026
V4_209,0.02115609544827215,0.9773530422879412
V4_210,0.0008034700634088757,0.9990098154448003
V4_211,0.0007122667493817067,0.9992942079421661
V4_212,0.0007646559504910476,0.9991983395297267
V4_213,0.0006106427839478016,0.9993401867216233
V4_214,0.0007591927866030259,0.9993134933565179
V4_215,0.0006772334560566848,0.9992651514251593
V4_216,0.0006063510599556885,0.9993536876536284
V4_217,0.0005693094754062378,0.9993579580256127
V4_218,0.0006152670083222074,0.999374088340245
V4_219,0.0006204231909969896,0.9994146626878909
V4_220,0.0009024107281969405,0.9990405360321977
V4_221,0.0007867760076610701,0.9992508019342302
V4_222,0.001119589895844972,0.9990783547650255
V4_223,0.0014113130309608268,0.9986230997384319
V4_224,0.0011643789206817162,0.998809050760741
V4_225,0.0010412545680766312,0.9989892153313258
V4_226,0.0009731523121375024,0.998963814783904
V4_227,0.0010747290382015237,0.9989202288978626
V4_228,0.001155594371041743,0.9987258176376558
V4_229,0.0012976785833561768,0.9987909801008873
V4_230,0.0008808322132875983,0.9991513809706677
V4_231,0.0008564665530375255,0.9990907053014128
V4_232,0.0010003146268722297,0.9990045831640391
V4_233,0.0010731981874590993,0.9989535019838777
V4_234,0.0009588004860185981,0.9989921294156778
V4_235,0.0011409848120904284,0.9989367188426524
V4_236,0.0009203302987491987,0.9990857155722633
V4_237,0.000928261020263907,0.9989894745802972
V4_238,0.0012963520223889836,0.9987385600959963
V4_239,0.0009281033850105539,0.9990325134714805
V4_240,0.0008618786681368149,0.9991472807829378
V4_241,0.0008170731506989601,0.9991736836293158
V4_242,0.0008236383422286338,0.9992032926928078
V4_243,0.001705612876650923,0.9982469386692407
V4_244,0.0007959184662540067,0.9992449919008305
V4_245,0.001121208939099538,0.9989074379382586
V4_246,0.0010675619655220409,0.9988909192594975
V4_247,0.0006103285707734488,0.9993720113893166
V4_248,0.0008715286221803541,0.9990670531949845
V4_249,0.0009706018767248377,0.9989596142764486
V4_250,0.0005338079104379556,0.9994276326799046
V4_251,0.0010279289379030612,0.9989729263232227
V4_252,0.0013263532216089852,0.9987022768247356
V4_253,0.0007493061104964931,0.999258251333273
V4_254,0.0008437134584600623,0.9991531560960106
V4_255,0.0007420391957401358,0.9992211017528795
V4_256,0.0009187070167802949,0.9990153732478004
V4_257,0.0009091275906574297,0.9990654319725939
V4_258,0.0010694103797082237,0.9989588214846249
V4_259,0.001049478848831715,0.9988878395961526
V4_260,0.0010962223539650586,0.9988299841460545
V4_261,0.0010898858659810855,0.9988678926156586
V4_262,0.0009921786607530825,0.9990443953561843
V4_263,0.000910585519032288,0.9990582627795213
V4_264,0.0009903497974823622,0.9989914322343483
V4_265,0.0016052902175662772,0.9983432020257887
V4_266,0.0007638463257820129,0.999260997272815
V4_267,0.0004716866293800293,0.9994948472146734
V4_268,0.0007460153499809233,0.9991611888838294
V4_269,0.0004935146246655795,0.999468431850643
V4_270,0.0009379260245641713,0.9991671775386596
V4_271,0.0005660618158902926,0.9993896885947418
V4_272,0.0004899541491796333,0.9993912431954267
V4_273,0.0005818443410092708,0.9994397260871805
V4_274,0.004565689730982068,0.995345123323942
V4_275,0.00462625110858536,0.9955920628727453
V4_276,0.004562597690651668,0.9954643334171743
V4_277,0.000768854373703078,0.9992269595986445
V4_278,0.0006382956933615225,0.9993699267694997
V4_279,0.0007241975324557837,0.9992687868469963
V4_280,0.006307530138466755,0.9937990153160986
V4_281,0.002478764599638295,0.997564731043842
V4_282,0.0005692395999836751,0.9994372590103473
V4_283,0.0006319648103311807,0.9993438823398516
V4_284,0.0006344899676903248,0.9993493141549135
V4_285,0.0006538309644273689,0.9993082712985362
V4_286,0.0006132933279992,0.9993693659732127
V4_287,0.0006548230427542116,0.9993327566218624
V4_288,0.0005613991616896705,0.9994029231935505
V4_289,0.0008211057171804606,0.9991633071831756
V4_290,0.0007496944784993522,0.9992806148221518
V4_291,0.0009110925323975692,0.9991098121905871
V4_292,0.0007938122478277897,0.9992284321270608
V4_293,0.0005425550005925947,0.9994692406954573
V4_294,0.0008286885617336735,0.999187218524855
V4_295,0.0012436916726653428,0.9987907310387998
V4_296,0.0009299298021089054,0.9990839288609746
V4_297,0.0007020651451871755,0.9992639196228339
V4_298,0.0006021478069174195,0.9994079689280927
V4_299,0.0008497922799708764,0.9991409831407879
V4_300,0.000750569145414575,0.9992483483032737
V4_301,0.0008784295296807019,0.9991573338649961
V4_302,0.000859169318374386,0.9992003312816717
V4_303,0.000680737412450375,0.9993461966655539
V4_304,0.0005671665319619238,0.9994257885232087
V4_305,0.0005637312467570184,0.9994168277287212
V4_306,0.000641204543950713,0.9993111420348103
V4_307,0.0006824903608037597,0.9993128490216233
V4_308,0.00058259693177596,0.9994437750969933
V4_309,0.0004286179697420361,0.9995439547441983
V4_310,0.0004130800001054935,0.9995935267183294
V4_311,0.0004446688150076874,0.9995468694232467
V4_312,0.0004625555805483161,0.9994973532505314
V4_313,0.00046834378447639565,0.9995506583576529
V4_314,0.0005544762549391249,0.9994401831486517
V4_315,0.0005658184234201009,0.9994311639693847
V4_316,0.0005619814947181333,0.9994615773510367
V4_317,0.0005641704908013015,0.9994481370123779
V4_318,0.0006720621660310561,0.9993065005177217
V4_319,0.0006054610654972292,0.9994084833014475
V4_320,0.0005672159984517298,0.9994216747557688
V4_321,0.0006060707388501877,0.999394934564563
V4_322,0.001237330372851488,0.9987961351236847
V4_323,0.0023224329263055706,0.9977013954715348
V4_324,0.000598512372441185,0.9994118086584316
V4_325,0.001992274716119886,0.9980486460424699
V4_326,0.0007137504448256614,0.9992899321696516
V4_327,0.0009232813341100128,0.9991290963928049
V4_328,0.00046575418631130647,0.9995202433646138
V4_329,0.0008811519306402127,0.999098556043477
V4_330,0.0007846251007517217,0.9992034225091014
V4_331,0.0005035772691281188,0.9995056703008594
V4_332,0.00044025146369354256,0.999554115788081
V4_333,0.00045224330468765164,0.9995242593603555
V4_334,0.0007658056568282044,0.9992710427759945
V4_335,0.00046935769766045935,0.9995350991312821
V4_336,0.00042201656035233153,0.9995931622387852
V4_337,0.00046639542647251576,0.9995280219066647
V4_338,0.00046595356421975784,0.9995228221432131
V4_339,0.0005397917374575736,0.9994633567944732
V4_340,0.0004976661131911692,0.9994882641441475
V4_341,0.0005042198061301553,0.9994937973846582
V4_342,0.0003723849786212721,0.9996459284578564
V4_343,0.00026761130346145335,0.9997051362014291
V4_344,0.00020080783713211924,0.9997900841291251
V4_345,0.00026814035384686055,0.9997336139872339
V4_346,0.00016447204204201842,0.9998258735960297
V4_347,0.00021708749488747925,0.9997995410926573
V4_348,0.00028512680821691307,0.9997019506371316
V4_349,0.00021544903831359727,0.999776409307859
V4_350,0.00025168954367925183,0.9997310832483629
V4_351,0.00035018163575651316,0.9996777667594448
V4_352,0.000344689629979293,0.9996635931560091
V4_353,0.00031895135683012327,0.9996937365202866
V4_354,0.00036317571096398926,0.99962982820084
V4_355,0.000446146969528791,0.9995628527549203
V4_356,0.00045637061283784226,0.999536371910038
V4_357,0.00039557674422739024,0.9995812998157704
V4_358,0.00044282259755161284,0.9995614349241514
V4_359,0.0002607130210021463,0.9997370519653502
V4_360,0.00029179987628589105,0.9997091286556056
V4_361,0.00024198418064379684,0.9997678050402324
V4_362,0.0002415790788976993,0.9997326613713704
V4_363,0.00026889090412627573,0.9997739925218484
V4_364,0.0002171850566522687,0.9997949207334644
V4_365,0.0002511916641651768,0.9997414482338102
V4_366,0.00019876502346151756,0.9997977267386575
V4_367,0.000279206116939065,0.9997108138583444
V4_368,0.0001956473807818861,0.9998195178575325
V4_369,0.0001819948366143203,0.9998089059944945
V4_370,0.0003992268426162881,0.9995907622799319
V4_371,0.00041258094062674756,0.9995750685840974
V4_372,0.0005897018966018118,0.9994341022523894
V4_373,0.0005050193566861076,0.9994998281412972
V4_374,0.00047677798254262095,0.9995129713906846
V4_375,0.0003389094721930846,0.9996518854965919
V4_376,0.00030579316027409294,0.9996859555887692
V4_377,0.00041437357177340553,0.9995994238206272
V4_378,0.00026418262189887556,0.9997466328550935
V4_379,0.00028715898160627145,0.9997062699607726
V4_380,0.00028116296600174995,0.9997146606984609
V4_381,0.0002596246008849518,0.999753115871322
V4_382,0.00023549666480262134,0.9997696105318181
V4_383,0.0002657211019428232,0.9997346140995645
V4_384,0.00023539219025946637,0.9997569314036152
V4_385,0.0002447760477253595,0.9997518781015058
V4_386,0.00021470389897690627,0.999793261546109
V4_387,0.00028420181043417505,0.9997243152701863
V4_388,0.00027769426420215737,0.9997301732715042
V4_389,0.0003405061365055747,0.999650495217638
V4_390,0.0005570637755164712,0.9994552012405253
V4_391,0.0002646992795051569,0.9997375426544292
V4_392,0.0005401262318299514,0.9994702263331404
V4_393,0.0011308246790262104,0.9988637010577508
V4_394,0.0005969450296756293,0.9993984588758615
V4_395,0.001117332075450682,0.9989030515159564
V4_396,0.00010511354085233748,0.9998918336854292
V4_397,0.002540556823022355,0.9974661063684239
V4_398,5.589164476363085e-05,0.999943665352082
V4_399,3.284568403228125e-05,0.9999670028578878
V4_400,0.0025939154669864842,0.9973704305082348
