Tckr
FEYE
ACAD
PLNT
USFD
PAAS
EBR
SPG
MOMO
SLB
EOG
DISCK
ADT
PACW
S
ZS
IIVI
NTNX
PLAN
MCFE
NAVI
AGI
SHLX
OCDX
TPH
TV
FL
SPOT
BKR
GGB
CHGG
VLO
COG
FBP
PFSI
FCX
MLCO
HOG
UBER
SSRM
DAL
FIVN
GFI
LNC
UA
EPRT
LYV
VRRM
CWK
PVG
ET
