Tckr
KNX
TTWO
PH
MIC
MGP
HAS
ENIA
EBAY
DD
VVV
NTRS
RHI
CNP
CVX
PSTH
MET
PNC
FNV
FAF
EMN
KRC
VIV
SIRI
TS
SWCH
FNF
CI
AAP
FB
IP
UDR
QCOM
AXP
MS
CDNS
PRGO
PAY
CIEN
NTR
TTMI
BERY
EQR
ANTM
PRMW
IRM
FDX
GPN
TSCO
PANW
VIAV
