Tckr
ZEV
SIOX
FNKO
SUPV
GAN
TPGY
NBEV
AGTC
PENN
NERV
SLNO
NIO
FIGS
COOK
LOTZ
SIG
ODT
PRQR
LBRT
CNK
CDXC
RRC
VERU
CHPT
MNMD
OVID
BEKE
VRAY
ARLO
REAL
ZIM
MBIO
GRPN
TRIL
BCRX
VYNE
BIGC
YELL
PRCH
CFLT
MRNA
SMFR
RES
LI
LFST
APPN
CASI
NVTA
VIEW
ENLC
