Tckr
GME
LMFA
BBIG
BTBT
MVIS
SPIR
EEIQ
NXTD
OCG
GREE
MDIA
NEGG
OAS
ICVX
RKLY
POLA
SNDL
IPDN
PETZ
RELI
LKCO
OXBR
VVPR
BROS
VRPX
MARA
WAFU
ORPH
DBGI
EVK
ADGI
BRQS
HX
RLYB
IZEA
CUEN
AHT
RANI
USWS
SOS
PRPO
EYES
OCGN
CIDM
INDP
SRZN
PPSI
TNT
AIHS
LYL
KBSF
WPG
STAB
AMC
XELA
WORX
MTC
EXPR
LGHL
DUO
AMTX
NAOV
AVTE
TNYA
RCON
LEDS
CARV
BTCS
CREG
GMVD
CREX
MRIN
GOTU
CMMB
NXTP
AMR
CLSK
CCNC
ZME
XYF
KLXE
OEG
SINO
CRTD
ENG
SAVA
ARTL
UONEK
JFIN
ATNF
HGSH
FRSX
IMRX
MMAT
DXLG
NUVL
ICD
CBAT
NURO
JILL
GNUS
NNDM
