Ticker,date,sector,name,opening,closing,high,low
WY,2021-08-02,Real Estate,,33.74,34.22,34.58,33.72
WHR,2021-08-02,Consumer Discretionary,,223.26,221.56,225.66,221.17
WMB,2021-08-02,Energy,,25.05,24.94,25.525,24.84
WLTW,2021-08-02,Financials,,207.9,203.96,208.41,203.025
WYNN,2021-08-02,Consumer Discretionary,,100.0,98.37,101.9,98.155
XEL,2021-08-02,Utilities,,68.36,68.56,68.93,67.925
XLNX,2021-08-02,Information Technology,,150.0,148.98,152.5,146.245
XYL,2021-08-02,Industrials,,126.67,125.64,127.84,125.47
YUM,2021-08-02,Consumer Discretionary,,132.09,132.39,133.335,131.69
ZBRA,2021-08-02,Information Technology,,555.0,550.97,558.678,548.84
ZBH,2021-08-02,Health Care,,164.08,163.01,165.395,162.78
ZION,2021-08-02,Financials,,52.3524,51.63,53.94,51.58
