Ticker,date,sector,name,opening,closing,high,low
FRT,2021-08-02,Real Estate,,118.68,116.57,120.5,116.45
FDX,2021-08-02,Industrials,,280.79,276.16,282.605,275.39
FIS,2021-08-02,Information Technology,,150.03,139.12,150.74,137.54
FITB,2021-08-02,Financials,,36.63,36.08,37.38,36.05
FE,2021-08-02,Utilities,,38.32,38.46,38.69,38.18
FRC,2021-08-02,Financials,,195.55,194.08,198.32,193.22
FISV,2021-08-02,Information Technology,,115.94,109.75,116.04,109.0013
FLT,2021-08-02,Information Technology,,260.27,253.98,261.89,253.59
FMC,2021-08-02,Materials,,107.28,106.6,108.22,105.82
F,2021-08-02,Consumer Discretionary,,14.02,13.91,14.33,13.88
FTNT,2021-08-02,Information Technology,,274.27,284.62,288.536,270.14
FTV,2021-08-02,Industrials,,73.3,73.5,74.89,72.97
FBHS,2021-08-02,Industrials,,98.09,97.93,99.115,97.5
FOXA,2021-08-02,Communication Services,,35.77,35.64,35.95,35.5
FOX,2021-08-02,Communication Services,,33.29,33.29,33.54,33.23
BEN,2021-08-02,Financials,,29.88,29.77,30.51,29.59
FCX,2021-08-02,Materials,,38.66,36.62,39.08,36.545
GPS,2021-08-02,Consumer Discretionary,,29.33,29.1,30.31,29.09
GRMN,2021-08-02,Consumer Discretionary,,156.98,157.85,159.405,156.98
IT,2021-08-02,Information Technology,,265.97,264.97,267.575,264.075
GNRC,2021-08-02,Industrials,,421.32,400.0,421.32,396.2
GD,2021-08-02,Industrials,,196.8,195.83,198.81,195.58
GE,2021-08-02,Industrials,,104.48,100.6,107.21,100.4317
GIS,2021-08-02,Consumer Staples,,58.84,59.37,59.43,58.71
GM,2021-08-02,Consumer Discretionary,,57.37,57.03,58.6,56.88
GPC,2021-08-02,Consumer Discretionary,,127.87,126.46,128.94,126.05
GILD,2021-08-02,Health Care,,68.34,68.35,68.6456,67.83
GL,2021-08-02,Financials,,93.85,92.7,94.89,92.53
GPN,2021-08-02,Information Technology,,194.06,171.79,195.375,170.62
GS,2021-08-02,Financials,,376.17,378.19,386.93,375.75
GWW,2021-08-02,Industrials,,439.87,440.16,444.15,438.84
HAL,2021-08-02,Energy,,20.7,20.16,21.37,20.14
HBI,2021-08-02,Consumer Discretionary,,18.42,18.51,18.85,18.28
HIG,2021-08-02,Financials,,64.14,64.42,65.3,63.81
HAS,2021-08-02,Consumer Discretionary,,100.07,99.65,101.6,99.47
HCA,2021-08-02,Health Care,,248.85,251.0,251.81,248.41
PEAK,2021-08-02,Real Estate,,37.12,36.66,37.32,36.62
HSIC,2021-08-02,Health Care,,80.64,81.23,81.5796,79.95
HSY,2021-08-02,Consumer Staples,,179.55,178.41,179.55,177.71
HES,2021-08-02,Energy,,76.79,73.78,77.9184,73.71
HPE,2021-08-02,Information Technology,,14.59,14.49,14.87,14.48
HLT,2021-08-02,Consumer Discretionary,,132.47,127.87,132.89,127.02
HFC,2021-08-02,Energy,,29.57,28.94,30.39,28.91
HOLX,2021-08-02,Health Care,,75.18,75.83,76.12,74.84
HD,2021-08-02,Consumer Discretionary,,330.0,327.22,330.0,326.42
HON,2021-08-02,Industrials,,235.14,232.42,236.86,232.22
HRL,2021-08-02,Consumer Staples,,46.46,46.59,46.75,46.24
HST,2021-08-02,Real Estate,,16.08,15.8,16.54,15.77
HWM,2021-08-02,Industrials,,33.23,32.73,34.01,32.62
HPQ,2021-08-02,Information Technology,,29.05,29.14,29.475,28.915
HUM,2021-08-02,Health Care,,426.0,429.58,430.67,422.74
HBAN,2021-08-02,Financials,,14.15,14.0,14.475,14.0
HII,2021-08-02,Industrials,,205.78,203.42,208.2886,203.22
IEX,2021-08-02,Industrials,,228.07,225.94,229.82,225.75
IDXX,2021-08-02,Health Care,,687.41,678.72,688.69,666.85
INFO,2021-08-02,Industrials,,117.07,117.98,119.07,117.02
ITW,2021-08-02,Industrials,,227.24,225.49,228.45,225.33
ILMN,2021-08-02,Health Care,,498.07,492.99,499.96,490.61
INCY,2021-08-02,Health Care,,77.49,78.47,78.67,77.22
IR,2021-08-02,Industrials,,48.96,48.37,49.86,48.31
INTC,2021-08-02,Information Technology,,53.99,53.68,54.47,53.535
ICE,2021-08-02,Financials,,120.25,119.43,120.62,119.235
IBM,2021-08-02,Information Technology,,141.45,141.42,143.06,141.03
IP,2021-08-02,Materials,,57.96,57.51,59.12,57.3925
IPG,2021-08-02,Communication Services,,35.67,35.55,36.26,35.41
IFF,2021-08-02,Materials,,151.49,149.59,151.99,149.47
INTU,2021-08-02,Information Technology,,532.11,527.51,534.77,525.37
ISRG,2021-08-02,Health Care,,995.99,992.55,998.67,986.03
IVZ,2021-08-02,Financials,,24.69,24.42,25.26,24.35
IPGP,2021-08-02,Information Technology,,219.65,217.5,220.51,217.02
IQV,2021-08-02,Health Care,,248.43,247.3,249.425,246.3
IRM,2021-08-02,Real Estate,,44.09,43.76,44.4,43.67
JKHY,2021-08-02,Information Technology,,174.84,174.57,175.57,173.43
J,2021-08-02,Industrials,,135.92,133.9,138.53,133.87
JBHT,2021-08-02,Industrials,,168.63,167.47,170.21,167.34
SJM,2021-08-02,Consumer Staples,,131.12,131.29,131.6,130.125
JNJ,2021-08-02,Health Care,,172.47,172.27,172.84,171.3
JCI,2021-08-02,Industrials,,71.7,70.7,72.36,70.66
JPM,2021-08-02,Financials,,152.03,151.17,154.45,151.07
JNPR,2021-08-02,Information Technology,,28.18,28.01,28.48,27.97
KSU,2021-08-02,Industrials,,269.21,265.6,270.4,265.6
K,2021-08-02,Consumer Staples,,63.41,63.42,63.75,63.235
KEY,2021-08-02,Financials,,19.75,19.54,20.305,19.53
KEYS,2021-08-02,Information Technology,,165.0,164.91,165.48,163.8
KMB,2021-08-02,Consumer Staples,,135.69,134.67,135.87,134.45
KIM,2021-08-02,Real Estate,,21.53,21.29,21.98,21.27
KMI,2021-08-02,Energy,,17.45,17.32,17.72,17.255
KLAC,2021-08-02,Information Technology,,348.16,345.91,356.7,344.79
KHC,2021-08-02,Consumer Staples,,38.595,38.58,38.78,38.38
KR,2021-08-02,Consumer Staples,,40.75,41.01,41.135,40.23
LB,2021-08-02,Consumer Discretionary,,80.65,79.92,82.0,79.2437
LHX,2021-08-02,Industrials,,228.0,225.95,229.26,225.84
LH,2021-08-02,Health Care,,296.83,297.61,299.67,294.66
LRCX,2021-08-02,Information Technology,,646.2,641.8,659.489,641.0
LW,2021-08-02,Consumer Staples,,67.45,67.35,68.0375,66.72
LVS,2021-08-02,Consumer Discretionary,,42.89,41.51,43.16,41.45
LEG,2021-08-02,Consumer Discretionary,,48.45,48.05,49.64,48.03
LDOS,2021-08-02,Industrials,,106.88,107.11,108.83,106.7
LEN,2021-08-02,Consumer Discretionary,,106.29,105.85,107.225,104.92
LLY,2021-08-02,Health Care,,245.73,246.6,247.885,244.25
LNC,2021-08-02,Financials,,62.33,60.79,63.93,59.67
LIN,2021-08-02,Materials,,308.73,300.22,310.19,300.12
LYV,2021-08-02,Communication Services,,79.25,79.12,81.03,78.9
LKQ,2021-08-02,Consumer Discretionary,,51.83,51.01,52.6,50.74
LMT,2021-08-02,Industrials,,372.3,368.3,375.04,368.08
L,2021-08-02,Financials,,53.69,53.65,54.6,53.42
LOW,2021-08-02,Consumer Discretionary,,193.81,190.96,194.22,190.85
LUMN,2021-08-02,Communication Services,,12.52,12.54,12.635,12.41
LYB,2021-08-02,Materials,,99.98,98.9,103.31,98.84
MTB,2021-08-02,Financials,,134.47,133.36,137.75,133.29
MRO,2021-08-02,Energy,,11.61,11.3,11.915,11.2842
MPC,2021-08-02,Energy,,55.29,54.46,56.41,54.235
MKTX,2021-08-02,Financials,,478.51,480.0,488.57,475.47
MAR,2021-08-02,Consumer Discretionary,,147.06,144.87,148.67,144.15
MMC,2021-08-02,Financials,,148.07,147.99,149.13,147.91
MLM,2021-08-02,Materials,,363.71,362.83,372.62,361.75
MAS,2021-08-02,Industrials,,59.8,59.34,60.34,59.3
