Tckr
EYEN
AFIB
FREY
EGLE
SITM
MNKD
TALK
CAR
BFLY
FSLY
MTCR
WINT
DDL
ATXI
SHLD
SIC
OSMT
PTGX
DIDI
RMTI
OYST
SWN
BNR
NCNA
PDS
ADMA
OCUL
NFE
HEPS
CNTY
RCUS
MRAM
IDN
AVDL
CRNX
ORGS
ARVL
FXLV
QTRX
PLTR
ONON
TEN
AKBA
IAS
GCO
NMM
CAAP
MEIP
BNTX
DRRX
